标题,时间,来源,正文,作者,评论数
武汉和北京都采用了所谓的混检方法 这种方法可靠吗?,2020-06-28,国家卫健委网站,原标题：武汉和北京都采用了所谓的混检方法 这种方法可靠吗？ “混检”有两种模式。一种是在采样时，将几个人如3人或5人分别采样后，放至同一采样管中，这种模式也叫做“混合采样”或称“混采”，北京多数情况下采用这种模式；另一种则是在实验室检测时，将3人或5人的样本取相同体积混合在一起，也称“样本混合“。 从科学角度讲，第一种“混采”模式，不会影响核酸检测的敏感性，后一种将样本混合检测的模式，则对检测敏感性有一定的影响，但影响程度是已知的。 在现场采样中，如采用“混采”，要注意的是有序安排，如5人一组，每人持各自的条码，采样时每采一人，将该人条码贴至采样管上，这样就可有效地避免采样可能弄混的问题。 分析过程中，如采用“样本混合”的混检方案，在混合5人样本时，也要注意样本混合过程中，可能存在的样本弄混问题。 混检大幅提升了核酸检测能力，比如，现在北京的日检测能力是20多万，使用这种结合模式，可使日检测能力在不增加人力物力的情况下，就可以达到200多万。 需要强调的是，对于发热门诊有症状患者、密切接触者等高风险人群检测，还是应该采用单采单检。对于低风险人群的筛查，则可以优先选择“混检”。,张迪 ,0
民进党当局坚持不扩大筛检量 罗智强讽:防疫逻辑荒谬,2020-06-28,环球网,原标题：民进党当局坚持不扩大筛检量，罗智强讽：不检验就没感染者，这防疫逻辑多荒谬 [环球网报道 记者 张丽媛]台湾“中时电子报”27日报道称，日本官方日前通报一名20多岁日本女学生从台湾返国，在机场入境时进行新冠病毒检测，结果呈阳性。消息曝光后，有专家建议台湾施行入境广筛。台湾地区流行疫情指挥中心回应称，台湾每日筛检量约110件，且社区通报量也比其他地区少，目前的筛检量已经足够。对此，国民党籍台北市议员罗智强表示，“如果在草原上看到一头大狮子，张着血盆大口扑过来的时候，要怎么逃生呢？很简单把头埋进沙子，只要看不见狮子就等于狮子不存在，这是台湾‘神级防疫’的逻辑”。 罗智强在岛内政论节目“新闻深喉咙”中表示，台湾防疫“神逻辑”就是“只要不检验，就没有感染者，少检验，感染者就少，看不到感染者，就代表说我们没有感染者，但日本女学生用身体去证明，这防疫逻辑是多么荒谬”。 罗智强批评，在台湾没有检验出这名日本女学生感染新冠肺炎，结果人家回国被验出，“这是很丢脸的一件事情”。他认为，过去这段时间在“神级防疫”的逻辑下，大家都觉得台湾很安全，可是全球新冠肺炎感染人数已将近1000万人、死亡人数将近50万人，重点是全球每日确诊人数不断创新高，美国还在高峰上，这世界不但不安全，其实是更危险。罗智强还提到，其他地区也可能会质疑台湾筛检量不足，就像日本研议开放边境时，却排除台湾。 据媒体此前报道，欧盟计划于7月1日重新开放边境，首波开放名单亦未包含台湾。有岛内网民粉刺，（欧盟）打脸民进党当局的吹嘘。还有人表示，（台湾）根本没有普筛资料，别人怎么会相信？台湾一日不加大筛检量，台湾就会被视为疫情不明。 台湾《中国时报》曾在一篇评论文章中表示，各国在决定放宽边境管制的对象时，疫情是首要顾虑。台湾的疫情指挥中心一直拒绝进行更多普筛，连小规模的抽样筛检也不肯，人口36万的冰岛筛了4.6万人，台湾2300万人只筛了7万人，全球各地排名第85；每百万人筛检数3000多，全球各地排名第138。各地在考虑开放入境时，要看到确凿的科学数字，才能理解当地社区的感染状况，以及其旅客所带来的风险程度。 文章称，这段时间以来，民进党当局拿着防疫佳绩强力进行“大内宣”，对陈时中大行造神，民众也沉浸在自满中，却没看到台湾的防疫并不是十全十美，只是不足处被遮掩了起来。文章认为，民进党当局与其把一个防疫指挥官搞成人气王，不如专注在对防疫有帮助的事上，早点对国际交出更有说服力的证据。,张迪 ,0
湖南命案 警方连续两日发悬赏公告奖金已至10万！,2020-06-28,新浪新闻综合,原标题：湖南命案 警方连续两日发悬赏公告 奖金已至10万！ 来源：北京头条 6月25日21时50分许，湖南省张家界市慈利县甘堰乡张家台村发生一起故意伤害案，致1人死亡，3人受伤。警方连续两日发布悬赏通告，并将悬赏金额提升至10万元！ 据警方调查了解，犯罪嫌疑人名叫杨年初，绰号杨二，男，50岁，身份证号码为：430821197006012211，慈利县甘堰乡人，作案后逃跑时未着上衣，下身穿着蓝色牛仔短裤，脚穿黑色运动鞋。 6月26日，湖南省张家界市慈利县公安局发布悬赏通告，警方希望社会各界及广大人民群众积极提供线索，一旦发现犯罪嫌疑人杨年初的行踪请立即联系办案人员，对提供有价值线索协助公安机关抓获犯罪嫌疑人的奖励一万元；对抓获并扭送犯罪嫌疑人到公安机关的奖励2万元。 同时公安机关将对举报人的信息严格保密，对拒不提供线索，或包庇、藏匿、帮助犯罪嫌疑人潜逃的依法处理。 27日，警方再发悬赏通告，将悬赏金额再次提高，对提供有价值线索协助公安机关抓获犯罪嫌疑人的奖励5万元；对抓获并扭送犯罪嫌疑人到公安机关的奖励10万元。 联系电话：110；邢警官：13974435899；高警官：17374488868；李警官：13907444760 文/王浩雄,杨杰 ,0
教育部给本科教学“打分”：学业挑战度中等偏下,2020-06-28,北京日报客户端,原标题：教育部给本科教学“打分”：学业挑战度中等偏下 教育部近日发布《全国普通高校本科教育教学质量报告（2018年度）》。《报告》指出，党的十九大以来，我国高等教育进入内涵式发展新阶段，本科教育全面振兴，高校改革创新人才培养模式工作持续推进，学生学习体验满意度不断提升。高校本科教育教学工作也存在一些问题，包括人才培养中心地位未完全落实，高校教授为本科生授课比例仅为77.11%；教学模式创新性不足，高校专业课小班化课堂平均开设率仅为29.11%；学习过程管理总体不严格，高校学业挑战度总体上仍处于中等偏下水平。 为全面总结2018年全国高校本科教育教学质量状况，教育部教育督导局委托教育部高等教育教学评估中心研制完成《全国普通高校本科教育教学质量报告（2018年度）》。《报告》基于高等教育质量监测国家数据平台和全国1000余所普通高校本科教学质量年度报告，以本科教育教学质量为主线，采用海量数据挖掘、多维案例分析、大规模问卷调查等方法，呈现高校提高本科教育教学质量的新举措、新经验、新成效，为本科教育教学改革提供决策参考。 《报告》指出，党的十九大以来，我国高等教育进入内涵式发展新阶段，本科教育全面振兴。2018年，教育部通过全面布局“四新”建设、推出“六卓越一拔尖”计划2.0、部署一流专业建设“双万计划”、颁布本科专业类教学质量国家标准等一系列重要举措，在本科教育关键领域“谋突破、上水平”，打响新一轮全面振兴本科教育攻坚战，高校人才培养能力得到全面提升。 高校扎实落实立德树人根本任务，“三全育人”工作有序开展。实施高校思想政治工作质量提升工程，推动高校加强思政课程建设、深化思政工作改革，建立完善立德树人育人机制，构建“三全育人”大格局。2018年，全国培育“三全育人”综合改革试点单位125家，以“三全育人”为导向建设高校思想政治工作精品项目200项、中青年骨干队伍建设项目20个。 高校师德师风建设和教师队伍建设取得成效。按照《关于全面深化新时代教师队伍建设改革的意见》要求，高校在教师聘用、年度考核、职称评聘等工作中，坚持师德第一标准，引导广大教师争做“四有”好老师。2018年，高校博士学位教师占比38.21%，较2017年增长1.5个百分点；行业背景教师占比17.68%，较2017年增长5.8个百分点；辅导员队伍规模从2017年的58750人增加到2018年的65571人。 高校改革创新人才培养模式工作持续推进。2018年，高校打破第一课堂到第二课堂的壁垒，将社会课堂、虚拟课堂引入传统的课堂教学，理论与实践相互融合。高校累计开设专业实验课达到144.17万门，累计建设国家级实验实训示范中心1210个、校外实践实习基地22.6万个，实践育人体系不断完善。高校积极开展创新创业教育，持续深化科教融合，推动创新创业教育融入人才培养全过程，截至2018年底，452所高校增加创新创业学分，参与创新创业训练计划学生达30.49万人次。 另外，高校办学条件和教学资源得到明显改善，“大学质量文化建设”呈现新风貌。各级财政加大高等教育投入，高校生均教育经费（全日制学生）达到3.27万元。线上课程资源建设得到强化，教育部认定国家精品在线开放课程1291门，上线慕课数量达到8100门。高等教育质量保障体系逐步健全，政府完善质量标准，强化外部教育教学评估；高校内修教学督导、专项评估、常态监测，质量文化得到培育和养成，提高学生培养质量成为主旋律。 《报告》还提到，学生学习体验满意度不断提升，大部分学生对自身成长与收获满意。2016年到2018年，学生对课程教学和学习风气的满意度得分分别为64.48、66.25、67.62和60.75、61.64、63.83，呈现持续上升趋势。2018年，74%的学生认为自己在确立明晰人生观、价值观方面有极大或较大提高，75.9%的学生认为大学期间自己的合作能力有较大或极大提高，74.1%的学生对自己在大学期间的成长与收获满意。 与此同时，《报告》也指出，部分高校本科教育教学工作尚存在不少问题，具体表现为：人才培养中心地位未完全落实。部分高校对人才培养中心地位的落实保障度不够，制度保障教学、全员服务教学等落实不到位，高校教授为本科生授课比例仅为77.11%。教学模式创新性不足。部分高校慕课、翻转课堂、线上线下混合式教学等新型教学模式应用不足，高校专业课小班化课堂（30人及以下）平均开设率仅为29.11%。学习过程管理总体不严格。部分高校课程学习难度、挑战度不高，考核方式单一、重结果轻过程，2016年至2018年，高校学业挑战度总体上仍处于中等偏下水平。师德师风建设未形成长效机制。部分高校对师德师风建设工作的统筹领导力度不够，个别教师不能认真履职尽责，学术不端行为仍有发生，师德考核在教师考核评价中被弱化。 此外，我国本科教育教学质量保障体系有待继续健全完善。评估制度设计需着力解决重点难点问题，立德树人评估指标尚不够具体，高校分类评估有待进一步完善。高校在职称评聘、职务考核、激励奖励、资源分配等方面依然强调“帽子、课题、成果、经费、奖项”等指标，人才培养成效的评价标准尚未得到充分体现。 目前，《报告》已由高等教育出版社公开出版发行。,杨杰 ,0
胡海峰率队赴青海海西考察调研对口支援工作,2020-06-28,政府网站,原标题：胡海峰率队赴青海海西考察调研对口支援工作 来源：丽水发布 近日，市委书记胡海峰率队赴青海省海西蒙古族藏族自治州考察调研，对接深化对口援青工作。 自2013年丽水与海西两地正式建立结对关系起，双方开展了持续深入的沟通互动，目前丽水已先后选派3批干部人才到海西工作。抵达海西首站，胡海峰即前往省援青指挥部，看望慰问我市援青干部人才。胡海峰代表市委、市政府向援青干部人才表示衷心慰问，对大家胸怀无私大爱、舍小家为大家的忘我精神致以崇高敬意，并对省援青指挥部给予丽水援青干部人才的关心关爱表示由衷感谢。 胡海峰勉励丽水援青干部人才要牢记初心使命、以实际行动弘扬和践行浙西南革命精神、新时代海西精神和浙江援青精神，与当地各族干部群众同甘共苦、并肩作战，把青春年华、智慧汗水挥洒在广袤高原，更好地为服务当地发展发光发热。 在丽海两地对口支援工作座谈会上，胡海峰认真听取了对口支援相关工作汇报。他指出，丽水与海西虽远隔千山万水，但多年对口支援工作让两地紧密相连。希望双方以对口援青10周年为新起点，共同谋划务实合作，让两地合作之路越走越好、越走越宽。要做好“深耕”的文章，瞄准海西发展所需、升级所缺、民生所盼，进一步把丽水的优势与海西的特色深度结合起来，集中力量、有的放矢、取长补短、持续深耕，让双方间产业合作更加精准。做好“细拓”的文章，在加强党政层面交流的基础上，鼓励更多民间交往、市场主体互动，架起雪域高原与江南秘境的文化纽带、友谊桥梁，促进人文互通、人心融合，让双向交流更具活力。做好“厚植”的文章，积极引导科研院校、技术团队深入参与到两地对口支援工作中来，用科技的力量推进两地深度合作，打造对口支援更多硬核成果，让智力支持更富实效。 海西蒙古族藏族自治州委书记文国栋代表州委州政府对代表团一行表示欢迎和感谢。他说，在统筹推进疫情防控和经济社会发展的关键时期，代表团一行到海西考察对口支援工作，充分体现了丽水市委市政府深化对口支援工作的政治担当和对海西各族群众的深情厚谊。今年是对口支援10周年，也是新一轮西部大开发的重要机遇期，海西一定认真落实浙青两省深化对口支援工作的部署要求，把援青力量用好，把援青干部关心好，把援青文章做好。真诚希望丽水市发挥产业基础和对外开放窗口优势，进一步加大对口支援帮扶力度，加强两地深度合作，在产业援青上实现新突破，在智力援青上打造新模式，推动两地优势互补、长短结合、互利共赢，共同开创对口支援工作新局面。 在海西考察期间，胡海峰一行还赴青海中控太阳能发电公司、青海清洁能源展示馆等地，详细了解新能源产业项目发展等情况。,张迪 ,0
长沙地铁3号线、5号线正式载客 直达主城区六区一县,2020-06-28,红网,原标题：快讯 | 长沙地铁3、5号线11点28分正式载客 6月28日9时18分，长沙市委副书记、市长、湖南湘江新区党工委书记郑建新宣布：“长沙地铁3号线、5号线一期工程正式载客初期运营。” 11：28分，这两条纵横星城东西南北的地下交通大动脉“开门迎客”。从今天起，市民可乘坐地铁直达长沙主城区的六区一县，便捷畅通的“全面网络化”地铁时代正式开启。,朱学森 ,0
国家统计局：5月份工业企业利润实现增长,2020-06-28,新京报,原标题：国家统计局：5月份工业企业利润实现增长 新京报贝壳财经讯 6月28日，国家统计局官网发布消息，5月份工业企业利润实现增长。对此，国家统计局工业司高级统计师朱虹表示，5月份，随着复工复产深入推进，生产经营秩序逐步恢复，工业企业效益状况持续改善，当月利润增速实现由负转正。但累计看，1—5月份利润同比下降19.3%，降幅依然较大。5月份，全国规模以上工业企业实现利润总额5823.4亿元，由4月份同比下降4.3%转为增长6.0%，主要原因有： 一是成本上升压力明显缓解。5月份，规模以上工业企业每百元营业收入中的成本为84.29元，同比增加0.21元，增加额比4月份明显减少1.00元，缓解了3、4月份以来单位成本大幅上升给企业经营带来的压力。 二是工业品价格变动增加企业盈利空间。5月份，工业生产者出厂价格同比下降3.7%，降幅比4月份扩大0.6个百分点。同时，工业生产者购进价格同比下降5.0%，降幅比4月份扩大1.2个百分点。工业品购进价格回落幅度明显超过出厂价格回落幅度，有利于增加企业盈利空间。 三是石油加工、电力、化工、钢铁等重点行业利润改善明显。石油加工行业利润由4月份全行业亏损218.0亿元转为5月份盈利116.2亿元，同比增长8.9%。5月份，电力行业利润增长10.9%，4月份为下降15.7%；化工行业利润下降9.6%，降幅比4月份收窄19.7个百分点；钢铁行业利润下降50.5%，降幅收窄15.1个百分点。 此外，当月投资收益大幅增加也在一定程度上推动5月份利润明显改善。,杨杰 ,0
国家统计局：5月份企业效益状况持续改善,2020-06-28,新京报,原标题：国家统计局：5月份企业效益状况持续改善 新京报贝壳财经讯 6月28日，国家统计局官网发布消息称，5月份企业效益状况继续改善。对此，国家统计局工业司高级统计师朱虹进行了解读。 一是企业盈利水平提高。5月份，规模以上工业企业营业收入利润率为6.82%，同比提高0.29个百分点，比4月份提高1.15个百分点。 二是企业亏损状况有所好转。5月末，规模以上工业企业亏损面比4月末下降2.7个百分点。5月份，亏损企业亏损额增亏幅度比4月份收窄11.0个百分点。 三是工业产成品库存压力有所缓解。5月末，规模以上工业企业产成品存货增速比4月末回落1.6个百分点；产成品存货周转天数为20.9天，比4月末减少0.8天。 尽管5月份工业企业利润实现今年以来首次增长，但疫情影响下市场需求依然偏弱，利润回升的持续性还需进一步观察。一是工业销售增速有所放缓，5月份，规模以上工业企业营业收入增速比4月份回落3.7个百分点；二是利润转好行业数量有所减少，在41个工业大类行业中有21个行业利润增速比4月份加快或降幅收窄，比4月份减少12个行业。,杨杰 ,0
福建新增2例新冠确诊病例：均为福州报告俄罗斯输入,2020-06-28,澎湃新闻,原标题：福建新增2例新冠确诊病例：均为福州报告俄罗斯输入 一、境外输入疫情 6月27日0-24时，福建省报告新增境外输入确诊病例0例。 当日报告新增境外输入疑似病例0例。 当日报告新增境外输入无症状感染者2例，为俄罗斯输入（福州市报告）。 截至6月27日24时，福建省累计报告境外输入确诊病例67例，已治愈出院62例，目前住院5例（其中重症1例），无死亡病例；现有报告境外输入疑似病例0例；现有报告境外输入无症状感染者尚在接受集中隔离医学观察3例。 二、本地疫情 6月27日0-24时，福建省报告新增本地确诊病例0例。 当日报告新增本地疑似病例0例。 当日报告新增本地无症状感染者0例。 截至6月27日24时，福建省累计报告本地确诊病例296例（已治愈出院295例、目前住院0例、死亡1例），其中：福州市72例、厦门市35例、漳州市20例、泉州市47例、三明市14例、莆田市56例、南平市20例、龙岩市6例、宁德市26例；现有报告本地疑似病例0例；现有报告本地无症状感染者尚在接受集中隔离医学观察0例。 三、密切接触者 目前密切接触者已解除医学观察14726人，尚有82人正在接受医学观察。 来源：福建省卫健委官网,朱学森 ,0
过去24小时重庆28个区县暴雨 9条河超保证水位,2020-06-28,界面新闻,原标题：过去24小时重庆28个区县暴雨，9条河超保证水位 重庆市水文监测总站消息，6月27日8时至6月28日8时，重庆市大部地区大到暴雨、局地大暴雨。綦江、南川、万盛、渝北、巴南、九龙坡、沙坪坝、大渡口、南岸、江津、璧山、武隆、石柱、涪陵、长寿、忠县、梁平、丰都、彭水、黔江、酉阳、开州、奉节、万州、云阳、巫山、巫溪、城口等28个区县出现暴雨，其中最大日降雨量出现在武隆和顺乡打蕨村，为180.5毫米。 受降雨影响，涪陵黎香溪、小溪河、油江河，江津塘河、驴子溪、笋溪河（沙埂站），綦江永丰河，武隆大溪河（鸭江站），南川大溪河（南城站）等9条次中小河流出现超保证水位洪水。綦江蒲河、通惠河、清溪河，南川大溪河（沿塘站）、龙川江、鱼泉河，江津笋溪河（蔡家站）、綦江（五岔站），巴南五布河，铜梁小安溪等10条次中小河流出现超警戒水位洪水。涪陵龙潭河、黔江唐岩河、渝北御临河等89条次中小河流出现1~7米涨水过程，最高水位未超警戒水位。截止目前，仍有1条次超保证水位（江津塘河），8条次超警戒水位。,朱学森 ,0
